gyro x,gyro y,gyro z,acc x,acc y,acc z
52.65,16.12,23.33,0.79,-0.01,0.53
38.15,4.72,24.84,0.77,-0.08,0.56
35.54,0.04,22.81,0.76,-0.07,0.54
38.72,-1.99,23.38,0.75,-0.05,0.54
41.08,-6.8,29.04,0.76,-0.02,0.54
32.9,-6.0,32.53,0.76,-0.11,0.55
18.01,-3.81,27.6,0.76,-0.16,0.59
9.71,-9.54,24.32,0.77,-0.15,0.61
6.72,-13.13,21.88,0.77,-0.16,0.6
3.49,-10.6,17.7,0.81,-0.13,0.65
-1.03,-16.35,12.76,0.81,-0.12,0.64
-3.95,-12.37,5.52,0.84,-0.1,0.64
-18.21,0.74,2.46,0.87,-0.09,0.69
-34.8,11.47,-1.31,0.87,-0.21,0.73
-38.38,19.84,-17.21,0.89,-0.23,0.81
-33.88,29.38,-28.32,0.92,-0.11,0.98
-28.25,9.42,-30.3,0.88,-0.07,1.02
-38.17,-10.81,-28.56,0.89,-0.06,0.92
-48.53,-2.33,-30.96,0.87,-0.14,0.86
-60.74,3.94,-35.32,0.84,-0.12,0.82
-62.26,6.08,-39.25,0.82,-0.03,0.78
-63.18,12.6,-38.3,0.79,0.03,0.75
-65.64,19.81,-37.09,0.78,0.01,0.74
-74.91,18.01,-39.89,0.76,-0.03,0.72
-76.03,10.26,-43.33,0.76,-0.05,0.67
-73.94,4.02,-46.2,0.76,-0.05,0.61
-75.42,1.35,-45.71,0.78,-0.02,0.55
-75.77,4.95,-44.43,0.78,-0.02,0.52
-81.75,6.8,-41.06,0.77,-0.09,0.47
-80.01,8.95,-41.75,0.77,-0.11,0.44
-79.72,15.37,-41.58,0.76,-0.14,0.45
-77.05,13.82,-40.31,0.77,-0.12,0.46
-74.85,10.49,-40.04,0.76,-0.14,0.47
-71.86,5.58,-38.62,0.78,-0.18,0.43
-67.06,3.7,-38.77,0.8,-0.17,0.38
-65.51,11.47,-36.47,0.83,-0.17,0.39
-63.09,11.28,-34.51,0.85,-0.16,0.41
-60.28,6.22,-30.91,0.87,-0.16,0.41
-57.12,0.62,-27.89,0.89,-0.18,0.4
-47.57,-6.1,-25.12,0.94,-0.2,0.37
-41.28,-7.67,-23.06,0.97,-0.2,0.32
-40.99,1.03,-20.08,1.02,-0.18,0.35
-41.79,1.67,-14.51,1.06,-0.17,0.4
-38.16,-10.35,-11.35,1.08,-0.32,0.34
-27.6,2.02,-19.42,1.11,-0.33,0.3
-21.05,10.83,-20.63,1.13,-0.18,0.4
-14.95,9.39,-13.58,1.13,-0.08,0.48
-9.84,3.15,-1.36,1.1,-0.04,0.5
-10.81,-6.25,10.83,1.06,-0.19,0.37
-9.9,5.61,9.31,1.05,-0.29,0.32
-7.75,11.06,4.17,1.05,-0.3,0.39
6.22,2.31,0.08,1.06,-0.23,0.47
27.72,-13.39,-2.67,1.06,-0.15,0.42
35.24,-13.57,-0.7,1.04,-0.1,0.39
36.8,-8.81,3.54,1.0,-0.06,0.34
36.7,0.83,10.91,0.96,-0.02,0.35
42.27,4.23,18.19,0.91,-0.04,0.39
44.12,4.91,23.07,0.87,-0.08,0.39
45.83,4.98,24.58,0.84,-0.11,0.38
43.88,9.96,25.62,0.82,-0.1,0.4
41.01,10.23,27.24,0.81,-0.08,0.46
40.53,5.47,28.4,0.78,-0.1,0.47
40.59,0.69,27.28,0.77,-0.11,0.48
41.05,-4.37,26.14,0.77,-0.12,0.48
36.08,-6.4,25.1,0.78,-0.1,0.48
33.12,-8.8,25.24,0.78,-0.1,0.49
28.19,-12.75,25.54,0.77,-0.14,0.48
22.82,-9.5,23.51,0.78,-0.15,0.49
18.71,-6.58,20.14,0.8,-0.17,0.52
15.54,-4.92,15.46,0.82,-0.15,0.57
10.93,-9.96,11.48,0.85,-0.14,0.63
8.15,-13.6,7.17,0.86,-0.11,0.65
2.25,-12.61,5.84,0.88,-0.07,0.67
-4.3,-12.28,7.29,0.89,-0.09,0.65
-11.65,-3.97,4.21,0.89,-0.26,0.62
-17.3,16.09,-8.73,0.89,-0.28,0.67
-33.5,33.47,-18.22,0.89,-0.18,0.83
-37.3,25.2,-20.11,0.87,-0.11,0.96
-24.36,2.92,-21.74,0.83,-0.15,0.9
-26.35,-3.61,-25.36,0.81,-0.21,0.76
-37.03,10.92,-29.98,0.8,-0.16,0.71
-46.29,21.46,-30.2,0.79,-0.12,0.77
-45.62,22.06,-32.78,0.76,-0.12,0.78
-44.66,17.04,-37.08,0.75,-0.11,0.74
-46.27,21.1,-40.73,0.74,-0.07,0.7
-52.94,22.64,-42.28,0.74,-0.1,0.68
-57.41,20.81,-44.74,0.75,-0.11,0.67
-54.96,13.65,-47.27,0.76,-0.11,0.64
-55.35,8.48,-47.73,0.77,-0.11,0.59
-55.35,9.38,-47.9,0.77,-0.13,0.56
-55.76,9.06,-46.98,0.77,-0.12,0.56
-57.73,4.02,-45.65,0.77,-0.14,0.51
-59.4,3.23,-43.99,0.78,-0.15,0.47
-58.07,2.36,-41.11,0.8,-0.15,0.45
-55.02,3.09,-38.56,0.82,-0.18,0.43
-53.51,5.07,-36.15,0.82,-0.17,0.42
-54.73,6.05,-32.0,0.85,-0.19,0.44
-54.5,5.93,-28.01,0.88,-0.2,0.44
-51.93,3.87,-25.27,0.89,-0.23,0.45
-47.81,-3.47,-24.51,0.92,-0.26,0.44
-44.81,-10.15,-23.79,0.96,-0.23,0.42
-40.83,-15.68,-22.16,0.97,-0.2,0.38
-37.82,-8.64,-16.8,1.01,-0.16,0.37
-36.45,-6.9,-8.91,1.03,-0.15,0.38
-34.05,-9.67,-4.21,1.04,-0.28,0.34
-31.18,-3.9,-8.91,1.05,-0.35,0.27
-29.2,16.88,-12.51,1.07,-0.25,0.36
-28.3,25.8,-9.58,1.09,-0.15,0.52
-22.99,14.67,-4.7,1.06,-0.08,0.57
-13.71,0.47,1.51,1.04,-0.07,0.54
-3.09,-9.96,6.85,1.02,-0.12,0.45
2.25,-8.63,8.74,1.02,-0.18,0.38
2.81,-4.2,8.45,1.03,-0.19,0.37
10.32,-7.9,8.53,1.05,-0.17,0.37
25.55,-9.57,8.48,1.04,-0.13,0.35
34.92,-8.06,9.9,1.02,-0.07,0.33
42.0,-0.63,13.86,0.99,-0.03,0.33
45.25,4.97,19.61,0.95,-0.04,0.37
51.44,3.82,22.4,0.92,-0.08,0.39
57.79,-0.53,24.35,0.88,-0.09,0.41
65.59,-5.82,24.61,0.85,-0.1,0.39
71.89,-6.98,24.09,0.82,-0.1,0.39
71.49,-7.29,23.09,0.81,-0.11,0.37
66.79,-0.98,22.69,0.81,-0.09,0.37
56.65,6.77,24.43,0.81,-0.06,0.43
49.9,5.78,27.62,0.82,-0.04,0.5
47.84,-0.31,30.15,0.81,-0.05,0.54
43.74,-7.39,32.09,0.79,-0.06,0.53
35.91,-9.99,33.05,0.78,-0.1,0.53
27.78,-8.83,31.66,0.79,-0.12,0.54
18.36,-5.36,28.7,0.81,-0.14,0.55
13.31,-1.09,23.5,0.83,-0.14,0.64
7.73,-6.28,17.99,0.84,-0.11,0.7
-2.94,-6.45,13.99,0.84,-0.1,0.73
-12.73,-10.43,11.63,0.85,-0.11,0.73
-14.95,-11.74,8.35,0.86,-0.25,0.67
-14.61,0.45,-6.27,0.87,-0.36,0.64
-15.69,18.14,-22.48,0.9,-0.22,0.74
-20.14,13.19,-23.83,0.89,-0.11,0.85
-15.98,2.98,-21.9,0.87,-0.09,0.81
-14.21,-1.99,-17.32,0.85,-0.17,0.7
-17.24,9.7,-16.72,0.85,-0.17,0.61
-22.04,26.94,-13.31,0.84,-0.12,0.63
-27.32,38.38,-10.79,0.8,-0.12,0.67
-36.36,44.37,-11.72,0.79,-0.12,0.71
-36.86,43.13,-15.98,0.77,-0.14,0.78
-31.63,28.74,-23.96,0.76,-0.19,0.78
-29.52,21.31,-32.0,0.76,-0.15,0.73
-34.68,17.89,-33.9,0.76,-0.11,0.69
-41.28,18.76,-32.52,0.76,-0.11,0.7
-46.3,11.51,-30.59,0.75,-0.15,0.67
-44.6,6.31,-30.26,0.73,-0.17,0.62
-43.95,0.45,-30.0,0.72,-0.18,0.57
-42.92,-1.96,-28.55,0.73,-0.18,0.54
-42.03,-0.59,-24.83,0.75,-0.19,0.5
-45.11,2.07,-21.3,0.75,-0.23,0.49
-45.48,2.59,-19.82,0.76,-0.24,0.52
-44.73,-1.72,-17.46,0.78,-0.25,0.5
-41.74,-3.9,-14.6,0.79,-0.26,0.49
-41.99,-4.62,-10.33,0.81,-0.28,0.46
-43.07,-4.2,-8.13,0.83,-0.3,0.46
-43.11,-6.81,-7.2,0.84,-0.32,0.43
-40.54,-7.84,-7.66,0.87,-0.32,0.43
-35.78,-10.0,-7.55,0.9,-0.3,0.44
-29.47,-12.63,-7.83,0.92,-0.26,0.44
-25.43,-17.23,-5.34,0.96,-0.22,0.43
-21.65,-24.62,-1.13,1.01,-0.31,0.36
-15.44,-16.62,-6.77,1.1,-0.39,0.28
-8.61,2.8,-9.64,1.13,-0.23,0.4
-8.29,1.69,-4.36,1.13,-0.11,0.54
-2.21,-13.89,5.17,1.12,0.0,0.54
-0.51,-22.29,20.07,1.06,-0.12,0.41
2.01,-6.28,22.74,1.02,-0.27,0.31
1.12,11.85,20.14,1.02,-0.26,0.4
5.16,10.58,20.07,1.04,-0.21,0.52
20.25,-4.57,19.21,1.03,-0.21,0.56
34.72,-22.03,16.33,1.0,-0.2,0.44
40.26,-13.45,14.51,0.97,-0.14,0.36
42.58,-2.17,17.78,0.92,-0.11,0.36
46.93,3.88,21.99,0.87,-0.1,0.38
48.9,6.19,26.69,0.82,-0.16,0.39
53.26,6.43,24.99,0.8,-0.19,0.42
55.43,2.02,22.84,0.78,-0.17,0.42
56.25,0.39,22.22,0.77,-0.13,0.42
55.52,-0.88,24.09,0.76,-0.13,0.43
56.37,-6.71,24.93,0.74,-0.15,0.41
55.98,-8.22,25.45,0.75,-0.15,0.42
52.51,-9.56,27.44,0.75,-0.16,0.42
45.94,-12.38,28.43,0.75,-0.17,0.43
40.29,-12.87,30.64,0.75,-0.18,0.42
35.15,-13.22,30.12,0.77,-0.22,0.41
32.95,-2.37,27.8,0.8,-0.22,0.5
28.63,-9.9,25.93,0.83,-0.19,0.57
27.73,-21.1,21.13,0.84,-0.27,0.54
29.58,-21.31,11.75,0.86,-0.3,0.53
24.07,-17.75,4.27,0.88,-0.26,0.59
20.48,-17.78,2.61,0.9,-0.16,0.63
24.54,-25.49,3.77,0.88,-0.19,0.62
17.51,-24.31,2.43,0.91,-0.29,0.51
0.16,-2.8,-4.62,0.95,-0.5,0.47
0.01,30.53,-28.35,0.97,-0.39,0.66
12.7,34.42,-39.15,0.97,-0.02,0.98
11.97,7.44,-23.02,0.94,0.21,1.01
6.6,-2.27,-5.32,0.88,0.16,0.91
-3.43,5.21,9.02,0.81,0.05,0.79
-11.36,22.42,11.23,0.75,-0.11,0.7
-32.78,50.07,5.91,0.74,-0.17,0.78
-40.63,53.08,-2.47,0.74,-0.18,0.94
-35.65,31.76,-13.24,0.71,-0.21,1.0
-26.19,4.62,-25.36,0.68,-0.22,0.88
-18.69,-5.85,-35.95,0.64,-0.17,0.66
-28.71,8.14,-37.29,0.64,-0.16,0.58
-43.88,20.06,-36.59,0.66,-0.19,0.61
-53.43,16.15,-39.28,0.69,-0.22,0.67
-46.33,-1.72,-45.47,0.71,-0.22,0.63
-41.85,-6.48,-49.0,0.73,-0.2,0.53
-44.93,-0.79,-48.77,0.75,-0.16,0.52
-50.84,-1.0,-46.8,0.76,-0.18,0.51
-52.09,-3.17,-45.78,0.79,-0.2,0.49
-51.87,-3.43,-43.91,0.81,-0.19,0.45
-52.01,-1.61,-39.95,0.83,-0.18,0.45
-49.94,-4.42,-35.32,0.85,-0.18,0.47
-47.42,-11.24,-31.69,0.87,-0.19,0.46
-46.9,-14.05,-26.64,0.9,-0.17,0.43
-48.88,-14.82,-20.14,0.92,-0.18,0.41
-49.05,-12.18,-16.17,0.94,-0.18,0.43
-46.26,-13.71,-12.18,0.95,-0.15,0.45
-37.3,-20.0,-7.2,0.96,-0.11,0.47
-31.4,-31.15,-1.13,1.01,-0.18,0.43
-30.4,-42.88,-0.55,1.09,-0.37,0.25
-26.94,-17.72,-7.08,1.17,-0.3,0.19
-17.86,14.85,-6.79,1.21,-0.11,0.38
-16.72,11.76,0.4,1.2,0.03,0.54
-13.35,-14.43,12.27,1.14,-0.03,0.44
-1.28,-18.24,16.11,1.09,-0.19,0.25
6.58,12.84,11.08,1.07,-0.21,0.31
6.2,17.1,12.73,1.08,-0.14,0.45
12.72,1.37,17.03,1.07,-0.17,0.49
27.59,-9.42,17.49,1.03,-0.21,0.43
41.1,-9.74,16.86,0.97,-0.2,0.37
45.61,-2.36,18.95,0.91,-0.15,0.34
47.4,3.21,23.83,0.88,-0.14,0.34
50.13,5.62,27.86,0.85,-0.18,0.34
51.5,7.38,28.35,0.83,-0.2,0.36
47.96,5.12,27.92,0.82,-0.17,0.38
48.58,3.49,27.34,0.83,-0.15,0.4
52.73,3.91,27.97,0.83,-0.11,0.43
52.8,-5.97,31.49,0.8,-0.12,0.42
49.12,-4.81,34.1,0.79,-0.13,0.39
46.45,-5.09,36.33,0.77,-0.15,0.41
47.87,-7.15,36.48,0.76,-0.19,0.42
46.13,-7.33,36.33,0.77,-0.16,0.45
35.18,-10.25,39.2,0.76,-0.17,0.48
32.48,-12.81,39.37,0.78,-0.22,0.49
30.45,-12.31,36.79,0.78,-0.26,0.49
24.22,-8.49,33.42,0.8,-0.28,0.51
18.48,-2.98,27.63,0.84,-0.27,0.59
11.01,-7.04,23.25,0.86,-0.26,0.64
10.44,-12.03,18.69,0.89,-0.25,0.65
11.31,-12.61,15.4,0.95,-0.28,0.62
1.24,0.48,8.85,0.97,-0.46,0.6
-1.29,21.05,-6.8,0.98,-0.38,0.73
-1.05,28.97,-11.5,1.0,-0.17,0.93
1.91,19.62,-6.01,0.94,-0.15,0.92
2.69,-9.97,-1.17,0.91,-0.13,0.84
-8.03,-10.11,7.42,0.87,-0.2,0.66
-14.37,15.34,10.25,0.83,-0.19,0.64
-20.65,25.23,11.26,0.79,-0.16,0.67
-26.91,30.4,9.98,0.75,-0.22,0.74
-26.01,22.79,1.91,0.74,-0.21,0.77
-23.8,7.44,-5.43,0.72,-0.25,0.71
-23.29,1.21,-13.5,0.72,-0.24,0.61
-21.23,0.62,-20.71,0.71,-0.23,0.56
-23.34,0.05,-25.71,0.73,-0.21,0.53
-30.13,1.52,-28.08,0.76,-0.17,0.52
-34.19,1.23,-27.82,0.77,-0.19,0.52
-34.43,-1.93,-27.3,0.77,-0.2,0.51
-33.23,-6.46,-28.37,0.77,-0.22,0.49
-29.98,-10.44,-29.98,0.77,-0.23,0.46
-27.69,-12.64,-29.54,0.78,-0.21,0.42
-31.56,-10.02,-26.84,0.78,-0.24,0.39
-36.6,-3.01,-24.08,0.8,-0.25,0.4
-37.38,-4.94,-20.83,0.82,-0.27,0.43
-34.72,-11.92,-18.1,0.83,-0.28,0.39
-32.27,-16.17,-15.72,0.85,-0.27,0.33
-31.58,-13.01,-9.38,0.89,-0.23,0.28
-28.74,-5.16,-2.99,0.9,-0.29,0.26
-30.22,-0.74,-0.66,0.93,-0.32,0.3
-26.28,-1.72,0.96,0.96,-0.29,0.32
-19.28,-4.39,5.19,1.02,-0.25,0.33
-16.76,-11.56,12.1,1.09,-0.38,0.26
-18.56,-8.96,8.71,1.11,-0.47,0.18
-15.5,19.1,3.95,1.15,-0.3,0.26
-16.35,18.99,11.69,1.12,-0.22,0.37
-8.86,21.1,18.83,1.11,-0.14,0.43
-0.62,5.64,27.86,1.04,-0.27,0.46
7.1,-9.18,26.11,1.04,-0.36,0.34
22.68,-7.9,20.05,1.03,-0.35,0.33
35.36,-14.17,18.42,1.05,-0.31,0.35
47.57,-20.24,18.45,1.03,-0.29,0.32
55.43,-20.16,17.98,0.99,-0.28,0.29
58.97,-12.18,16.34,0.96,-0.25,0.28
63.82,-5.73,15.4,0.96,-0.17,0.33
71.66,-5.81,19.09,0.95,-0.09,0.41
71.39,-12.17,26.78,0.93,-0.09,0.38
69.56,-11.41,31.56,0.9,-0.13,0.35
70.32,-10.09,33.8,0.88,-0.16,0.35
75.26,-10.76,34.17,0.86,-0.14,0.35
79.34,-9.83,34.52,0.85,-0.1,0.4
78.35,-17.23,36.99,0.84,-0.1,0.4
74.9,-18.79,38.47,0.81,-0.13,0.36
70.18,-14.78,37.19,0.8,-0.18,0.34
68.0,-8.03,34.85,0.79,-0.17,0.39
64.67,-11.67,33.89,0.8,-0.18,0.42
60.32,-11.18,33.01,0.81,-0.19,0.46
53.6,-16.58,31.92,0.83,-0.23,0.44
48.0,-10.9,29.05,0.84,-0.25,0.44
40.58,-4.23,25.68,0.86,-0.26,0.5
33.16,-2.08,23.13,0.86,-0.25,0.58
31.38,-11.63,19.39,0.87,-0.28,0.6
32.25,-14.17,13.95,0.89,-0.28,0.6
28.92,-15.98,11.51,0.94,-0.32,0.58
21.44,-8.08,8.19,0.99,-0.42,0.53
19.95,21.64,-2.23,1.0,-0.36,0.68
11.02,12.49,-5.03,0.97,-0.32,0.8
9.96,-3.1,-5.36,0.93,-0.25,0.81
15.51,-8.75,-1.59,0.9,-0.19,0.76
6.13,-6.08,6.12,0.88,-0.2,0.69
-3.21,11.76,11.46,0.86,-0.16,0.72
-10.78,15.89,15.87,0.84,-0.14,0.78
-18.47,15.37,16.59,0.82,-0.15,0.79
-20.81,13.24,12.8,0.8,-0.17,0.79
-18.11,8.25,5.98,0.76,-0.21,0.74
-17.21,6.14,-1.78,0.73,-0.21,0.68
-20.43,4.97,-7.17,0.71,-0.2,0.64
-25.57,1.64,-10.48,0.7,-0.2,0.59
-26.12,-3.2,-12.57,0.7,-0.23,0.52
-24.88,2.1,-15.65,0.72,-0.27,0.45
-26.36,6.34,-18.57,0.74,-0.28,0.45
-26.85,6.25,-20.39,0.77,-0.27,0.45
-27.25,4.94,-21.33,0.78,-0.27,0.45
-22.45,0.86,-22.64,0.8,-0.29,0.42
-18.52,4.49,-22.69,0.82,-0.28,0.42
-20.07,5.26,-20.89,0.83,-0.27,0.42
-20.43,3.88,-16.86,0.85,-0.27,0.43
-17.56,-0.11,-11.35,0.86,-0.28,0.42
-16.32,-2.6,-7.2,0.87,-0.31,0.39
-14.05,-3.65,-2.78,0.89,-0.3,0.38
-10.52,-6.42,2.18,0.9,-0.31,0.36
-4.72,-10.96,6.3,0.92,-0.31,0.33
2.89,-11.59,10.86,0.95,-0.28,0.31
6.0,-10.84,16.37,0.98,-0.23,0.35
9.6,-15.85,23.91,1.01,-0.22,0.36
13.34,-22.44,29.05,1.05,-0.35,0.29
19.86,-18.35,26.23,1.1,-0.43,0.22
32.1,4.07,22.26,1.15,-0.37,0.3
37.83,10.08,22.9,1.15,-0.21,0.47
41.08,5.29,31.31,1.1,-0.06,0.58
40.2,-20.12,46.97,1.01,-0.17,0.51
