gyro x,gyro y,gyro z,acc x,acc y,acc z
-4.18,-8.26,-11.14,0.15,-0.44,0.9
1.39,-10.89,-10.24,0.16,-0.42,0.86
-0.7,-7.15,-9.46,0.15,-0.44,0.85
-2.95,-4.34,-10.44,0.16,-0.44,0.87
-2.38,-5.96,-9.67,0.16,-0.44,0.88
-0.81,-7.67,-9.06,0.16,-0.43,0.86
-1.11,-4.68,-8.53,0.16,-0.42,0.85
-2.7,-4.07,-7.77,0.16,-0.42,0.86
-2.64,-4.43,-7.61,0.16,-0.43,0.86
-0.2,-9.53,-7.78,0.16,-0.44,0.86
0.7,-10.22,-7.22,0.15,-0.41,0.82
0.69,-7.1,-7.78,0.13,-0.43,0.81
-0.87,-4.4,-7.83,0.13,-0.43,0.84
-1.13,-5.81,-8.82,0.13,-0.43,0.86
0.2,-10.18,-8.53,0.12,-0.45,0.86
0.2,-12.37,-10.38,0.13,-0.43,0.81
-2.15,-11.36,-13.63,0.11,-0.45,0.81
-2.5,-8.81,-17.81,0.11,-0.46,0.8
-2.06,-8.09,-22.03,0.11,-0.46,0.82
2.91,-15.34,-27.01,0.08,-0.46,0.78
-1.82,-14.84,-28.21,0.08,-0.43,0.75
-3.8,-14.12,-31.77,0.09,-0.42,0.7
-2.21,-11.92,-38.48,0.08,-0.49,0.74
-2.46,-21.03,-53.21,0.07,-0.53,0.73
-6.94,-30.71,-62.58,0.05,-0.44,0.68
-3.69,-33.47,-58.97,0.14,-0.33,0.56
4.79,-25.2,-59.71,0.14,-0.37,0.55
3.43,-13.63,-69.27,0.15,-0.4,0.56
-4.56,-4.0,-75.82,0.19,-0.32,0.68
-1.19,-20.45,-75.44,0.2,-0.31,0.68
18.9,-28.92,-73.65,0.21,-0.37,0.57
42.83,-29.0,-79.88,0.18,-0.4,0.4
52.34,-4.46,-80.02,0.21,-0.19,0.46
38.44,-23.66,-71.24,0.19,-0.23,0.63
50.93,-50.1,-74.75,0.1,-0.43,0.39
79.24,-48.03,-82.09,0.1,-0.36,0.28
100.1,-53.28,-81.21,0.08,-0.21,0.34
94.92,-63.25,-76.55,0.12,-0.15,0.43
80.73,-81.55,-74.36,0.15,-0.17,0.45
90.03,-109.37,-65.52,0.24,-0.03,0.37
123.57,-118.46,-50.89,0.37,0.11,0.28
109.73,-107.69,-18.6,0.55,0.16,0.34
112.24,-81.82,-15.41,0.89,0.16,0.97
111.37,-113.75,-10.42,1.16,0.44,1.04
99.0,-111.81,12.79,1.21,0.31,0.72
117.02,-70.46,1.18,1.14,-0.03,0.57
118.12,-66.34,11.34,0.94,-0.12,0.89
153.46,-29.59,-69.26,1.3,0.31,0.82
93.28,-102.68,-25.34,1.5,0.99,0.75
155.43,-109.53,6.1,1.64,0.86,0.35
143.57,-101.2,28.21,1.67,0.77,-0.58
80.86,38.06,28.38,1.51,0.92,-0.75
33.46,133.23,60.61,1.26,1.07,0.14
68.11,101.59,102.13,1.05,0.5,0.72
108.49,13.8,100.71,0.97,0.04,0.62
55.22,-4.36,73.17,1.08,0.18,0.19
-6.04,31.14,66.73,1.13,0.54,0.39
17.15,1.11,76.78,0.98,0.82,0.85
53.3,-83.53,81.47,1.08,0.19,0.75
8.3,-116.22,39.7,1.44,-0.2,-0.25
-73.84,-66.63,13.72,1.36,0.29,-1.22
8.03,78.79,38.03,1.21,1.67,-0.81
162.17,182.66,92.27,1.11,-0.15,1.27
45.49,110.22,15.53,1.07,-1.96,2.0
-100.8,-64.32,-114.67,1.57,-0.76,1.02
-93.87,31.03,-73.03,1.31,2.04,0.4
111.39,64.08,70.05,1.11,1.17,1.31
105.86,20.33,82.75,1.39,-0.43,1.63
-12.33,-154.11,19.3,1.09,-0.44,0.39
-60.46,-49.45,36.01,0.92,1.06,-0.27
67.61,-43.46,93.66,0.81,0.47,-0.34
98.34,29.18,69.87,1.26,-0.36,-0.49
-53.64,116.02,11.23,1.31,-0.82,0.59
-111.89,49.37,-68.45,1.03,-0.14,0.53
-57.65,25.05,-36.33,1.11,0.63,0.62
25.95,-14.01,14.86,1.03,0.42,0.09
68.91,33.75,14.31,0.98,0.07,-0.17
-41.69,137.73,-9.23,0.84,-0.24,0.6
-45.26,99.07,-27.8,0.7,-0.03,1.17
-9.89,26.8,-19.67,0.62,0.28,0.8
10.13,39.53,3.02,0.74,0.42,0.51
1.83,33.26,18.34,0.86,0.11,0.9
21.39,-20.35,15.61,0.97,-0.09,0.76
20.71,-40.63,10.61,0.87,-0.28,0.61
-2.87,-46.33,7.05,0.77,-0.11,0.4
-30.7,-13.18,5.78,0.78,0.17,0.35
-25.79,-28.6,9.35,0.7,-0.16,0.9
2.65,-63.54,-12.19,0.71,-0.24,0.65
-19.55,-61.45,-35.06,0.73,-0.2,0.57
-33.78,-43.63,-52.67,0.8,-0.09,0.54
-51.88,-41.66,-66.74,0.83,-0.05,0.66
-64.97,-54.27,-80.99,0.82,-0.1,0.78
-64.12,-84.75,-94.77,0.74,-0.04,0.72
-61.51,-103.51,-94.48,0.84,0.2,0.54
-36.62,-97.19,-102.08,0.93,0.33,0.18
-34.36,-54.33,-100.25,0.98,0.3,0.22
-46.48,-45.84,-96.59,0.91,0.17,0.36
-49.91,-42.09,-100.1,0.89,0.31,0.23
-51.9,-20.27,-90.68,0.93,0.45,0.3
-35.6,-22.19,-89.61,0.91,0.31,0.47
-24.87,-37.71,-91.78,0.96,0.41,0.5
-40.89,-47.95,-84.37,0.95,0.45,0.47
-56.58,-58.2,-78.75,0.91,0.51,0.35
-64.33,-46.65,-69.38,0.91,0.54,0.2
-57.88,-28.56,-58.41,0.94,0.58,0.2
-36.06,-22.93,-42.43,1.01,0.62,0.32
-11.26,-41.66,-29.13,1.0,0.67,0.26
1.31,-39.82,-13.35,0.98,0.59,0.12
7.71,-23.02,-3.07,1.0,0.53,0.06
7.78,-10.22,2.27,0.97,0.46,0.05
8.82,10.05,3.48,0.94,0.46,0.05
4.85,28.66,6.78,0.95,0.46,0.24
3.54,20.36,8.73,0.94,0.43,0.41
4.15,1.38,4.21,0.92,0.4,0.39
5.02,-2.02,-0.78,0.92,0.4,0.3
1.92,4.74,-4.9,0.95,0.43,0.3
-3.27,5.88,-2.09,0.96,0.51,0.35
-0.26,-2.16,3.33,0.95,0.49,0.34
4.32,-6.84,6.35,0.96,0.45,0.31
5.13,-9.15,5.8,0.95,0.43,0.24
1.8,-1.53,5.91,0.93,0.44,0.22
1.45,4.3,5.94,0.94,0.41,0.25
-0.66,3.91,6.24,0.94,0.39,0.3
-2.34,0.8,5.42,0.93,0.38,0.32
-0.37,-3.97,2.08,0.93,0.37,0.34
1.04,-7.61,-1.36,0.93,0.4,0.28
0.91,-3.61,-1.97,0.93,0.43,0.26
0.26,0.07,-1.02,0.94,0.43,0.25
0.91,0.44,0.17,0.96,0.43,0.3
-2.98,-3.44,3.11,0.95,0.43,0.33
-3.04,-10.57,3.2,0.93,0.4,0.31
-0.76,-9.53,0.4,0.93,0.4,0.27
-1.57,-8.26,-0.61,0.94,0.39,0.27
-2.09,-6.72,-2.49,0.93,0.39,0.24
-4.3,-1.82,-3.46,0.95,0.4,0.25
-8.94,-5.53,-6.23,0.95,0.38,0.35
-14.34,-15.05,-8.56,0.93,0.36,0.37
-17.62,-22.42,-11.44,0.91,0.38,0.3
-15.75,-18.56,-16.08,0.92,0.39,0.31
-19.49,-26.05,-20.78,0.95,0.37,0.44
-19.3,-50.39,-28.06,0.9,0.35,0.4
-17.98,-58.1,-35.83,0.89,0.34,0.27
-17.79,-54.65,-44.46,0.88,0.33,0.22
-22.32,-52.05,-52.92,0.91,0.43,0.2
-27.48,-55.27,-55.57,0.92,0.48,0.2
-30.06,-60.55,-57.72,0.9,0.49,0.26
-30.12,-70.14,-57.08,0.89,0.5,0.24
-32.47,-78.82,-52.8,0.89,0.58,0.09
-34.52,-59.59,-48.8,0.92,0.59,0.13
-26.47,-71.78,-52.89,0.87,0.55,0.24
-24.67,-89.18,-47.88,0.89,0.68,0.07
-28.6,-83.67,-35.84,0.91,0.75,-0.13
-30.0,-53.47,-12.68,0.94,0.86,-0.22
-4.69,-34.31,7.07,1.0,0.94,-0.29
22.89,-18.18,34.53,1.04,1.05,-0.42
52.66,14.21,66.71,1.04,1.01,-0.57
76.86,69.65,96.39,0.92,0.78,-0.4
92.09,86.22,109.13,0.89,0.72,-0.25
105.19,101.42,120.22,0.87,0.6,-0.1
120.54,93.21,116.94,0.88,0.49,0.09
114.35,83.81,112.12,0.92,0.48,0.08
87.48,88.71,111.51,0.95,0.49,0.07
57.88,100.55,113.25,1.0,0.42,0.26
48.43,69.15,105.12,0.99,0.22,0.51
60.23,27.44,90.55,1.0,0.21,0.38
59.28,13.37,86.81,0.99,0.27,0.19
46.75,21.57,88.79,1.01,0.23,0.11
31.75,22.15,85.21,1.04,0.1,0.17
26.92,12.72,73.24,1.03,-0.01,0.21
35.42,-2.74,58.44,1.04,0.05,0.07
46.71,5.1,50.28,1.05,0.1,0.0
50.46,16.98,48.31,1.06,0.13,-0.03
48.67,28.6,46.1,1.05,0.06,0.07
45.09,24.57,39.02,1.01,-0.01,0.1
41.44,29.34,30.3,0.98,-0.02,0.09
39.38,42.12,15.61,0.94,-0.05,0.16
25.66,48.16,7.08,0.93,-0.02,0.35
13.44,30.05,1.72,0.92,-0.0,0.44
14.82,15.08,1.97,0.92,0.01,0.39
21.22,18.61,0.05,0.91,0.0,0.35
14.66,27.75,-2.64,0.92,0.04,0.39
0.67,25.99,-0.81,0.96,0.03,0.51
-0.53,9.68,-0.38,0.98,0.01,0.48
7.66,-2.11,-1.4,0.96,0.05,0.35
14.53,2.31,-0.78,0.95,0.07,0.25
18.71,14.5,-0.43,0.98,0.07,0.25
20.89,18.23,1.72,1.03,0.09,0.26
20.06,15.66,4.33,1.01,0.08,0.18
17.79,22.93,4.01,0.96,0.07,0.08
7.63,47.13,4.43,0.97,0.05,0.1
3.91,58.8,5.42,0.98,0.04,0.22
-3.37,64.43,10.24,0.97,0.04,0.35
-7.2,59.67,13.28,0.93,-0.08,0.41
-2.95,56.42,9.55,0.91,-0.08,0.44
2.61,49.74,7.9,0.91,-0.01,0.41
7.87,56.44,8.32,0.9,0.02,0.44
4.74,61.64,10.44,0.89,0.0,0.51
-1.25,62.49,9.58,0.88,-0.03,0.62
-2.47,51.64,6.16,0.86,-0.03,0.69
1.69,41.39,0.24,0.85,0.02,0.74
4.71,25.11,-0.78,0.88,0.02,0.71
12.16,15.74,1.33,0.9,0.02,0.64
14.4,12.0,4.59,0.9,-0.02,0.6
14.21,9.79,2.66,0.87,-0.01,0.54
12.66,14.21,-0.5,0.89,0.02,0.5
5.98,26.82,2.43,0.89,0.06,0.57
-8.44,19.49,9.09,0.86,-0.04,0.7
-9.8,5.09,4.82,0.84,-0.1,0.67
-3.65,1.06,-3.65,0.85,-0.09,0.61
-0.41,0.36,-8.03,0.84,-0.04,0.58
0.59,5.04,-8.67,0.85,0.0,0.6
3.13,3.9,-9.75,0.88,0.01,0.64
0.59,-5.3,-10.41,0.88,-0.0,0.67
1.11,-14.23,-14.28,0.9,0.01,0.59
3.02,-16.94,-16.31,0.93,0.03,0.55
5.74,-16.15,-14.4,0.94,0.09,0.51
8.53,-15.51,-8.83,0.95,0.11,0.45
12.21,-8.83,-3.23,0.94,0.06,0.39
5.97,0.33,-1.24,0.9,0.05,0.43
-1.24,5.15,-1.31,0.89,0.05,0.46
-0.63,10.17,-1.48,0.91,0.12,0.48
3.95,16.11,6.0,0.92,0.13,0.54
9.48,13.18,15.5,0.92,0.09,0.62
8.45,-0.57,18.28,0.9,0.03,0.66
12.79,-18.13,12.53,0.89,-0.02,0.63
16.3,-20.42,2.4,0.89,-0.02,0.56
11.96,-17.28,-4.21,0.91,0.02,0.52
5.66,-12.84,-8.67,0.92,0.04,0.51
5.49,-12.66,-11.76,0.93,0.06,0.49
6.44,-8.08,-13.32,0.94,0.1,0.49
3.16,-6.63,-11.92,0.95,0.11,0.51
3.92,-7.85,-10.1,0.97,0.13,0.49
5.83,-7.76,-7.55,0.98,0.15,0.48
6.18,-4.81,-3.8,0.99,0.14,0.48
5.52,-5.42,-2.17,0.97,0.12,0.48
0.56,-2.94,-0.37,0.97,0.12,0.49
-2.34,-4.8,2.32,0.95,0.12,0.52
2.23,-8.9,4.12,0.95,0.11,0.49
4.71,-7.56,6.65,0.95,0.11,0.45
4.47,-3.56,8.59,0.94,0.07,0.47
5.17,-2.74,7.69,0.94,0.05,0.48
1.11,-1.72,7.2,0.93,0.05,0.5
-2.55,-5.01,6.42,0.92,0.03,0.53
1.69,-9.76,3.82,0.92,0.04,0.49
3.86,-9.07,2.03,0.92,0.05,0.44
3.55,-2.59,2.26,0.92,0.05,0.42
2.41,5.17,2.67,0.93,0.05,0.48
1.33,0.24,1.97,0.93,0.02,0.53
5.52,-7.06,-1.3,0.93,0.03,0.49
4.53,-5.27,-1.5,0.94,0.06,0.43
3.42,0.11,-0.93,0.93,0.07,0.46
2.15,1.69,-0.26,0.94,0.07,0.49
1.62,-1.17,-0.01,0.95,0.05,0.52
1.98,-6.78,-0.96,0.95,0.06,0.51
2.97,-8.48,-1.48,0.95,0.06,0.48
2.26,-7.97,-1.68,0.95,0.07,0.46
2.18,-5.94,-0.72,0.96,0.07,0.45
3.4,-4.33,-0.37,0.95,0.06,0.45
3.4,-3.82,-0.32,0.95,0.07,0.45
1.1,-4.71,0.15,0.95,0.06,0.46
2.01,-4.34,-0.08,0.96,0.06,0.44
2.78,-3.62,-0.66,0.96,0.06,0.43
1.85,-1.09,-0.37,0.94,0.06,0.43
1.13,1.43,0.56,0.95,0.06,0.44
2.46,1.18,0.43,0.94,0.04,0.47
2.73,-0.6,-0.93,0.94,0.05,0.46
1.57,0.04,-1.43,0.94,0.04,0.45
1.59,1.02,-2.98,0.93,0.04,0.48
0.72,-0.6,-3.72,0.94,0.05,0.48
1.45,-2.54,-4.44,0.94,0.05,0.46
2.06,-2.07,-5.31,0.95,0.06,0.44
0.08,-0.65,-5.68,0.95,0.07,0.46
-1.05,-1.56,-5.72,0.96,0.09,0.45
0.79,-1.7,-4.44,0.97,0.09,0.45
1.22,-2.33,-3.31,0.98,0.09,0.44
0.27,-1.04,-2.29,0.98,0.1,0.43
1.3,-0.86,-1.11,0.98,0.1,0.44
2.2,-1.47,0.14,0.98,0.1,0.43
0.24,0.16,1.86,0.97,0.09,0.43
1.1,0.25,2.43,0.96,0.08,0.44
3.28,-1.15,2.75,0.96,0.08,0.43
3.89,-0.19,2.93,0.95,0.06,0.43
2.9,0.74,2.11,0.95,0.07,0.42
2.52,4.42,2.12,0.95,0.06,0.45
2.52,4.23,2.33,0.95,0.05,0.46
2.26,1.23,1.98,0.95,0.04,0.46
2.32,0.31,1.34,0.95,0.06,0.45
1.85,1.18,1.22,0.94,0.07,0.43
0.91,4.01,1.68,0.95,0.07,0.43
0.59,5.01,1.25,0.96,0.05,0.46
1.25,3.2,0.78,0.96,0.06,0.46
1.71,2.01,0.95,0.95,0.07,0.44
1.45,4.05,1.48,0.95,0.07,0.43
0.95,3.9,1.59,0.96,0.09,0.43
1.43,6.57,2.9,0.97,0.07,0.46
2.17,5.46,2.64,0.95,0.05,0.47
2.15,3.58,1.71,0.95,0.07,0.45
0.88,3.99,2.49,0.95,0.07,0.45
1.8,5.85,2.73,0.95,0.06,0.47
2.72,4.07,1.6,0.95,0.05,0.49
2.58,2.04,0.55,0.93,0.05,0.47
1.31,2.63,-0.12,0.93,0.05,0.49
0.91,-0.19,-0.34,0.94,0.05,0.48
1.28,-0.24,-0.66,0.94,0.05,0.47
0.3,-0.83,-1.27,0.94,0.05,0.48
1.19,-1.24,-1.53,0.95,0.06,0.46
1.11,-1.04,-1.25,0.95,0.06,0.46
0.32,0.16,-0.96,0.95,0.07,0.45
-0.52,0.74,-0.63,0.95,0.06,0.46
1.62,-0.51,-0.79,0.95,0.07,0.45
0.75,1.03,-0.59,0.95,0.05,0.46
-0.53,1.6,-1.08,0.95,0.06,0.47
-0.4,0.82,-0.92,0.95,0.07,0.47
0.35,-0.02,-0.38,0.93,0.07,0.47
1.63,-0.22,-0.17,0.95,0.05,0.46
-0.49,-0.25,-0.38,0.95,0.06,0.44
-0.37,1.47,-0.43,0.95,0.06,0.45
-0.44,2.75,-0.03,0.95,0.06,0.46
-0.2,1.78,0.73,0.94,0.05,0.47
-0.03,2.08,0.15,0.94,0.06,0.48
-1.91,0.24,-0.14,0.94,0.06,0.48
-1.85,-0.97,-0.46,0.94,0.05,0.48
0.03,-1.32,-0.73,0.95,0.06,0.46
0.76,-0.45,-0.78,0.94,0.05,0.46
0.67,0.02,-1.54,0.95,0.05,0.46
-1.04,-0.28,-1.39,0.95,0.05,0.46
-0.67,-0.46,-2.06,0.96,0.05,0.46
-0.69,-0.36,-1.92,0.95,0.06,0.45
-0.78,0.85,-1.57,0.95,0.07,0.45
0.26,1.53,-0.9,0.95,0.07,0.45
1.83,1.35,-0.06,0.96,0.06,0.46
0.88,1.34,0.06,0.95,0.05,0.46
-0.35,0.79,-0.63,0.95,0.06,0.46
-0.12,1.82,-0.27,0.95,0.07,0.47
0.61,0.86,0.56,0.95,0.06,0.47
0.4,0.07,0.9,0.94,0.05,0.44
0.78,-0.04,-0.14,0.94,0.05,0.45
0.64,2.04,-0.44,0.95,0.05,0.47
0.75,0.25,-0.34,0.95,0.05,0.48
1.17,-1.37,-0.93,0.95,0.05,0.46
1.37,-0.51,-0.72,0.95,0.06,0.46
1.51,-0.02,-0.44,0.95,0.05,0.46
0.75,-0.11,-0.66,0.94,0.04,0.46
0.43,0.44,-1.28,0.95,0.06,0.46
0.05,0.66,-0.47,0.95,0.08,0.46
1.72,-0.72,0.15,0.95,0.05,0.47
2.21,-1.52,-0.24,0.94,0.04,0.45
-0.15,-0.07,-1.08,0.95,0.05,0.44
0.43,0.94,-1.14,0.96,0.07,0.45
1.17,0.79,0.17,0.95,0.06,0.46
2.41,-0.08,0.43,0.95,0.05,0.45
1.11,1.21,0.32,0.95,0.06,0.46
1.17,1.4,0.4,0.95,0.06,0.46
2.14,1.26,0.14,0.95,0.05,0.46
0.49,0.77,-0.18,0.95,0.05,0.46
0.64,0.69,-0.35,0.95,0.06,0.46
1.46,0.94,-0.06,0.95,0.06,0.46
1.63,0.73,0.08,0.95,0.05,0.47
0.59,0.21,0.0,0.95,0.06,0.46
0.66,0.07,0.02,0.95,0.06,0.46
1.19,-0.16,0.61,0.95,0.05,0.45
1.66,0.92,0.18,0.95,0.04,0.46
0.14,0.36,-0.59,0.95,0.05,0.46
0.62,0.48,-0.14,0.95,0.07,0.45
1.62,0.86,0.66,0.95,0.05,0.46
2.38,0.19,-0.23,0.95,0.03,0.46
0.95,0.68,-0.95,0.95,0.05,0.45
0.52,0.83,-1.17,0.95,0.07,0.46
1.46,0.77,0.02,0.95,0.05,0.46
2.97,0.59,-0.55,0.95,0.04,0.46
0.23,1.56,-0.98,0.94,0.05,0.45
-0.34,2.45,-0.92,0.95,0.07,0.47
1.97,0.45,-0.3,0.95,0.05,0.47
